Marca temporal,How much money have you used in-game?,SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>500USD & <1000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>1001USD & <2000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>2001USD & <3000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>3001USD & <4000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>4001USD & <5000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>5000USD]","And as final question, did you rerolled when you started playing?",,,
10/07/2018 22:15,F2P,,,"Karna, Brynhildr",Francis Drake,Leonardo Da Vinci,,,,Jeanne D'arc [Alter],Between 3 and 6 months,6,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:15,Paid Gacha Only,,,,,,,,,,,,,,,,,Ozymandias,,,,,,Between 6 and 12 months,1,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:16,Paid Gacha Only,,,,,,,,,,,,,,"Altera, Nero Claudius [Bride]","Gilgamesh, Orion","Scathach, Karna","Francis Drake, Queen Medb",Tamamo-no-mae,,Vlad III,Amakusa Shirou,Jeanne D'arc [Alter],More than 1 year,13,Female,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:16,F2P,Okita Souji,,,,,Shuten Douji,Vlad III,,Jeanne D'arc [Alter],More than 1 year,5,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:16,F2P,"Artoria Pendragon, Altera",Nikola Tesla,"Scathach, Karna",,Zhuge Liang [El-Melloi II],,"Vlad III, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,13,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:16,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Mordred, Nero Claudius [Bride], Ryougi Shiki","Gilgamesh, Orion","Scathach, Artoria Pendragon [Lancer]","Francis Drake, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Leonardo Da Vinci","Jack the Ripper, MHX","Sakata Kintoki, Vlad III, Cu Chulainn [Alter], Florence Nightingale",Jeanne D'arc,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",Between 6 and 12 months,47,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:16,Paid Gacha Only,,,,,,,,,,,,,,,Orion,"Karna, Brynhildr",Queen Medb,,"Jack the Ripper, MHX",Vlad III,,,More than 1 year,11,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:16,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Mordred, Nero Claudius [Bride], Ryougi Shiki","Gilgamesh, Orion, Nikola Tesla, Arjuna","Scathach, Karna, Brynhildr","Francis Drake, Iskandar, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae","Jack the Ripper, MHX, Shuten Douji","Sakata Kintoki, Vlad III, Cu Chulainn [Alter], Florence Nightingale","Jeanne D'arc, Amakusa Shirou","Jeanne D'arc [Alter], Edmond Dantes, Extra Option: Angra Mainyu",More than 1 year,71,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:16,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Mordred,Orion,,Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Leonardo Da Vinci","Jack the Ripper, Shuten Douji","Sakata Kintoki, Vlad III, Cu Chulainn [Alter], Florence Nightingale",Jeanne D'arc,Extra Option: Angra Mainyu,More than 1 year,17,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:17,Paid Gacha Only,,,,,,,,,,,,,,Artoria Pendragon,,,,Xuanzang,Jack the Ripper,Cu Chulainn [Alter],Jeanne D'arc,Jeanne D'arc [Alter],Between 6 and 12 months,6,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:17,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Altera,,,Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang",Shuten Douji,"Cu Chulainn [Alter], Florence Nightingale, Minamoto no Raikō",,,Between 1 and 3 months,10,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:17,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Francis Drake, Queen Medb","Tamamo-no-mae, Leonardo Da Vinci",Shuten Douji,,,,Between 6 and 12 months,5,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:17,Paid Gacha Only,,,,,,,,,,,,,,,,,Francis Drake,Tamamo-no-mae,,Florence Nightingale,,Jeanne D'arc [Alter],Between 3 and 6 months,4,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:17,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Nero Claudius [Bride]",,Scathach,"Francis Drake, Ozymandias","Tamamo-no-mae, Xuanzang","MHX, Shuten Douji","Sakata Kintoki, Vlad III, Minamoto no Raikō",,Jeanne D'arc [Alter],Between 3 and 6 months,17,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:17,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,Nikola Tesla,,Iskandar,,Jack the Ripper,,Jeanne D'arc,Jeanne D'arc [Alter],Between 6 and 12 months,6,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:18,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Okita Souji",,,,Zhuge Liang [El-Melloi II],Shuten Douji,"Florence Nightingale, Minamoto no Raikō",,,Between 6 and 12 months,6,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:18,F2P,"Altera, Mordred, Nero Claudius [Bride]",Orion,,Ozymandias,,MHX,,,,Between 6 and 12 months,6,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:18,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karna,,,,,,Jeanne D'arc [Alter],Between 6 and 12 months,2,Male,No,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:18,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Mordred","Gilgamesh, Orion",,,,Jack the Ripper,Cu Chulainn [Alter],Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,8,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:18,Paid Gacha Only,,,,,,,,,,,,,,"Altera, Okita Souji",,Scathach,,Zhuge Liang [El-Melloi II],"Jack the Ripper, Shuten Douji","Sakata Kintoki, Florence Nightingale",,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",More than 1 year,10,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:18,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scathach, Karna",Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang","Jack the Ripper, MHX","Sakata Kintoki, Minamoto no Raikō",,,Between 6 and 12 months,10,Male,No,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:18,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Mordred, Nero Claudius [Bride]","Gilgamesh, Orion, Nikola Tesla","Scathach, Karna","Francis Drake, Queen Medb, Ozymandias","Zhuge Liang [El-Melloi II], Xuanzang","Jack the Ripper, MHX, Shuten Douji",Vlad III,Jeanne D'arc,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",More than 1 year,25,Male,No,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:18,F2P,Nero Claudius [Bride],,,"Iskandar, Ozymandias",Zhuge Liang [El-Melloi II],,,,Extra Option: Angra Mainyu,,4,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:18,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cu Chulainn [Alter], Minamoto no Raikō",,,Less than 1 month,3,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:19,F2P,,Orion,Scathach,,Zhuge Liang [El-Melloi II],,,,,More than 1 year,3,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:19,Paid Gacha Only,,,,,,,,,,,,,,Okita Souji,,,Ozymandias,Zhuge Liang [El-Melloi II],,"Cu Chulainn [Alter], Florence Nightingale",Amakusa Shirou,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",Between 6 and 12 months,7,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:19,Paid Gacha Only,,,,,,,,,,,,,,Okita Souji,Orion,"Karna, Brynhildr",Francis Drake,Tamamo-no-mae,,Vlad III,Amakusa Shirou,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",More than 1 year,10,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:19,F2P,Okita Souji,"Orion, Nikola Tesla, Arjuna","Karna, Artoria Pendragon [Lancer]","Francis Drake, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang","Jack the Ripper, Shuten Douji","Sakata Kintoki, Florence Nightingale",Jeanne D'arc,Edmond Dantes,More than 1 year,55,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:19,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Mordred",Orion,Brynhildr,"Francis Drake, Iskandar","Zhuge Liang [El-Melloi II], Tamamo-no-mae",Shuten Douji,Cu Chulainn [Alter],Jeanne D'arc,Extra Option: Angra Mainyu,More than 1 year,14,Female,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:19,Paid Gacha Only,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji",Gilgamesh,,Francis Drake,Zhuge Liang [El-Melloi II],"Jack the Ripper, Shuten Douji",Vlad III,Jeanne D'arc,,More than 1 year,10,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:19,Paid Gacha Only,,,,,,,,,,,,,,Okita Souji,Gilgamesh,Scathach,Ozymandias,Tamamo-no-mae,,"Vlad III, Cu Chulainn [Alter]",Jeanne D'arc,Jeanne D'arc [Alter],Between 6 and 12 months,9,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
