Marca temporal,How much money have you used in-game?,SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>500USD & <1000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>1001USD & <2000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>2001USD & <3000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>3001USD & <4000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>4001USD & <5000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>5000USD]","And as final question, did you rerolled when you started playing?",,,
11/07/2018 0:33,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,,Less than 1 month,0,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:33,F2P,Ryougi Shiki,Orion,Scathach,Queen Medb,Zhuge Liang [El-Melloi II],Jack the Ripper,Minamoto no Raikō,Jeanne D'arc,Jeanne D'arc [Alter],Between 6 and 12 months,4,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:33,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Nero Claudius [Bride],,,,Zhuge Liang [El-Melloi II],,,,,Between 6 and 12 months,2,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:33,Paid Gacha Only,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Nero Claudius [Bride]",,Artoria Pendragon [Lancer],Francis Drake,Leonardo Da Vinci,,Vlad III,Jeanne D'arc,,More than 1 year,10,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:33,Paid Gacha Only,,,,,,,,,,,,,,"Artoria Pendragon, Okita Souji",Gilgamesh,Scathach,"Iskandar, Ozymandias",Zhuge Liang [El-Melloi II],,Cu Chulainn [Alter],,Jeanne D'arc [Alter],More than 1 year,11,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:33,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Nero Claudius [Bride]",Orion,Scathach,,Zhuge Liang [El-Melloi II],Jack the Ripper,"Vlad III, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,11,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:33,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,Nikola Tesla,Scathach,Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",,Minamoto no Raikō,Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,11,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:33,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Mordred, Nero Claudius [Bride]","Gilgamesh, Orion",Scathach,"Queen Medb, Ozymandias","Tamamo-no-mae, Xuanzang",,"Vlad III, Cu Chulainn [Alter], Minamoto no Raikō",Jeanne D'arc,"Jeanne D'arc [Alter], Edmond Dantes",More than 1 year,33,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:34,F2P,Nero Claudius [Bride],,,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",Jack the Ripper,Vlad III,"Jeanne D'arc, Amakusa Shirou",,More than 1 year,8,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:34,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Okita Souji, Ryougi Shiki",,Scathach,Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",Shuten Douji,"Vlad III, Florence Nightingale","Jeanne D'arc, Amakusa Shirou",Extra Option: Angra Mainyu,Between 6 and 12 months,13,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:34,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryougi Shiki,Orion,,"Francis Drake, Iskandar, Ozymandias",Xuanzang,Jack the Ripper,Cu Chulainn [Alter],Jeanne D'arc,,More than 1 year,11,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:34,F2P,,Gilgamesh,,,,Shuten Douji,Sakata Kintoki,Jeanne D'arc,Edmond Dantes,More than 1 year,6,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:34,F2P,Ryougi Shiki,,,,,,,,Jeanne D'arc [Alter],Between 6 and 12 months,2,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:34,F2P,Artoria Pendragon,Orion,Karna,Ozymandias,,,,Jeanne D'arc,,More than 1 year,7,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:34,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Francis Drake,,,,,,Between 3 and 6 months,1,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:34,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mordred, Nero Claudius [Bride]",,Karna,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang",MHX,"Vlad III, Cu Chulainn [Alter], Minamoto no Raikō",Jeanne D'arc,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",Between 6 and 12 months,14,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:34,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Queen Medb, Ozymandias",,,"Vlad III, Cu Chulainn [Alter]",,,Between 6 and 12 months,7,Female,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:35,Paid Gacha Only,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Nero Claudius [Bride]",Orion,"Karna, Brynhildr","Francis Drake, Iskandar, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae",Shuten Douji,"Vlad III, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,18,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:35,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Francis Drake,,,,,Jeanne D'arc [Alter],Between 1 and 3 months,2,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:35,Paid Gacha Only,,,,,,,,,,,,,,Mordred,,,,,,,Jeanne D'arc,,,2,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:35,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Altera,,,Ozymandias,"Zhuge Liang [El-Melloi II], Leonardo Da Vinci",Jack the Ripper,,,,Between 3 and 6 months,5,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:35,Paid Gacha Only,,,,,,,,,,,,,,,,,,Tamamo-no-mae,,,,,,1,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:35,Paid Gacha Only,,,,,,,,,,,,,,"Artoria Pendragon, Okita Souji, Mordred",,Scathach,,Xuanzang,,,,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",Between 6 and 12 months,6,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:35,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Mordred","Gilgamesh, Orion, Nikola Tesla",Scathach,Francis Drake,"Zhuge Liang [El-Melloi II], Xuanzang, Leonardo Da Vinci","Jack the Ripper, MHX, Shuten Douji","Sakata Kintoki, Vlad III, Cu Chulainn [Alter], Florence Nightingale",Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,30,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:35,Paid Gacha Only,,,,,,,,,,,,,,Altera,Gilgamesh,,Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",,,Jeanne D'arc,,More than 1 year,6,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:35,Paid Gacha Only,,,,,,,,,,,,,,,,,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",,Minamoto no Raikō,,Jeanne D'arc [Alter],More than 1 year,4,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:35,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Okita Souji,Orion,Scathach,Francis Drake,Tamamo-no-mae,MHX,Minamoto no Raikō,Jeanne D'arc,,More than 1 year,9,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:36,F2P,,,,,,Jack the Ripper,Minamoto no Raikō,"Jeanne D'arc, Amakusa Shirou",,Between 6 and 12 months,4,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:36,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Nero Claudius [Bride]",Gilgamesh,Scathach,,,MHX,"Florence Nightingale, Minamoto no Raikō",Jeanne D'arc,"Edmond Dantes, Extra Option: Angra Mainyu",More than 1 year,13,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:36,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Okita Souji",Orion,,Ozymandias,Zhuge Liang [El-Melloi II],,"Vlad III, Minamoto no Raikō",,Jeanne D'arc [Alter],More than 1 year,12,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:36,Paid Gacha Only,,,,,,,,,,,,,,"Altera, Ryougi Shiki",,,,,Jack the Ripper,"Vlad III, Florence Nightingale",Amakusa Shirou,Jeanne D'arc [Alter],Between 6 and 12 months,7,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:36,F2P,,"Nikola Tesla, Arjuna",Scathach,Ozymandias,,,Minamoto no Raikō,,,Between 1 and 3 months,5,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:36,F2P,"Mordred, Ryougi Shiki",,,Iskandar,,,,,,Between 3 and 6 months,4,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:36,Paid Gacha Only,,,,,,,,,,,,,,"Artoria Pendragon, Altera",Arjuna,,,Leonardo Da Vinci,Shuten Douji,,,,Between 3 and 6 months,5,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:36,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zhuge Liang [El-Melloi II],,Minamoto no Raikō,,,,2,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:37,Paid Gacha Only,,,,,,,,,,,,,,Altera,Orion,Scathach,Ozymandias,Zhuge Liang [El-Melloi II],,Cu Chulainn [Alter],,Extra Option: Angra Mainyu,More than 1 year,7,Female,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:37,Paid Gacha Only,,,,,,,,,,,,,,Altera,,Scathach,,Zhuge Liang [El-Melloi II],Shuten Douji,Vlad III,,Jeanne D'arc [Alter],More than 1 year,8,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:37,F2P,"Artoria Pendragon, Mordred",Gilgamesh,,,Zhuge Liang [El-Melloi II],,"Vlad III, Cu Chulainn [Alter], Minamoto no Raikō",,Extra Option: Angra Mainyu,More than 1 year,8,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:37,F2P,"Artoria Pendragon, Altera",,Karna,Ozymandias,,,,Amakusa Shirou,,,5,Female,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:37,F2P,,,,,,,Minamoto no Raikō,,,Between 1 and 3 months,1,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:37,F2P,,,,Ozymandias,,,"Vlad III, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,7,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:37,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Mordred, Ryougi Shiki","Gilgamesh, Orion",Karna,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",MHX,"Sakata Kintoki, Cu Chulainn [Alter], Minamoto no Raikō",,,More than 1 year,12,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:37,Paid Gacha Only,,,,,,,,,,,,,,Ryougi Shiki,,Scathach,Iskandar,,,,Jeanne D'arc,Jeanne D'arc [Alter],Between 3 and 6 months,6,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:37,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mordred, Nero Claudius [Bride]",Orion,Scathach,,,,Florence Nightingale,,,Between 6 and 12 months,5,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:37,Paid Gacha Only,,,,,,,,,,,,,,Okita Souji,"Gilgamesh, Orion",Scathach,Francis Drake,Tamamo-no-mae,MHX,Sakata Kintoki,Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,14,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:37,Paid Gacha Only,,,,,,,,,,,,,,Mordred,,,,Zhuge Liang [El-Melloi II],Jack the Ripper,,,,,20,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:37,F2P,,Arjuna,,,Zhuge Liang [El-Melloi II],,Cu Chulainn [Alter],,,Between 1 and 3 months,3,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:37,Paid Gacha Only,,,,,,,,,,,,,,Altera,,,,"Zhuge Liang [El-Melloi II], Leonardo Da Vinci",,,,Extra Option: Angra Mainyu,Between 3 and 6 months,3,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:37,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Okita Souji, Mordred, Nero Claudius [Bride]","Gilgamesh, Orion, Nikola Tesla, Arjuna",,Ozymandias,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang",Shuten Douji,"Vlad III, Florence Nightingale, Minamoto no Raikō",,Jeanne D'arc [Alter],More than 1 year,20,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:37,Paid Gacha Only,,,,,,,,,,,,,,Mordred,,Brynhildr,"Francis Drake, Iskandar",Xuanzang,,,,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",Between 6 and 12 months,6,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:38,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nikola Tesla,,Francis Drake,,,,,Jeanne D'arc [Alter],Between 6 and 12 months,3,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:38,F2P,"Artoria Pendragon, Altera, Mordred",Gilgamesh,Brynhildr,Francis Drake,,Jack the Ripper,,Jeanne D'arc,,More than 1 year,12,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:38,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon [Lancer],,,,,Amakusa Shirou,"Jeanne D'arc [Alter], Edmond Dantes",Between 3 and 6 months,,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:38,F2P,,,,,,,,,,Between 1 and 3 months,0,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:38,Paid Gacha Only,,,,,,,,,,,,,,Mordred,,,,Xuanzang,Shuten Douji,,Jeanne D'arc,,Between 3 and 6 months,4,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:38,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Mordred, Nero Claudius [Bride]",,"Scathach, Brynhildr",Francis Drake,,Jack the Ripper,"Vlad III, Minamoto no Raikō","Jeanne D'arc, Amakusa Shirou",Jeanne D'arc [Alter],More than 1 year,32,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:38,F2P,Okita Souji,,Brynhildr,,Zhuge Liang [El-Melloi II],Jack the Ripper,Florence Nightingale,,,More than 1 year,6,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:38,F2P,,,Scathach,,,,,,,Between 6 and 12 months,1,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:38,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,"Gilgamesh, Orion",Scathach,"Francis Drake, Ozymandias","Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang","Jack the Ripper, MHX, Shuten Douji","Vlad III, Florence Nightingale, Minamoto no Raikō",Jeanne D'arc,"Jeanne D'arc [Alter], Edmond Dantes",More than 1 year,22,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:39,Paid Gacha Only,,,,,,,,,,,,,,"Artoria Pendragon, Altera",,,,,,Vlad III,Jeanne D'arc,,More than 1 year,5,Prefer not to say,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:39,F2P,,,Karna,Francis Drake,,,Vlad III,,Jeanne D'arc [Alter],Between 6 and 12 months,6,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:39,F2P,,Gilgamesh,,,,Jack the Ripper,Sakata Kintoki,Jeanne D'arc,Edmond Dantes,More than 1 year,6,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:39,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scathach,,,,,,Jeanne D'arc [Alter],Between 1 and 3 months,4,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:39,Paid Gacha Only,,,,,,,,,,,,,,Mordred,,,Ozymandias,,,"Cu Chulainn [Alter], Minamoto no Raikō",,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",Between 6 and 12 months,7,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:39,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,,,,Between 6 and 12 months,9,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:39,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera",,,"Queen Medb, Iskandar, Ozymandias",Zhuge Liang [El-Melloi II],Shuten Douji,,Jeanne D'arc,,More than 1 year,9,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:39,Paid Gacha Only,,,,,,,,,,,,,,Okita Souji,,Scathach,,,"Jack the Ripper, MHX",Vlad III,,Jeanne D'arc [Alter],Between 6 and 12 months,10,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:39,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altera, Nero Claudius [Bride]",,,,,Jack the Ripper,,,,,3,Prefer not to say,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:39,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,"Orion, Arjuna",Brynhildr,Iskandar,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang, Leonardo Da Vinci",Shuten Douji,"Vlad III, Florence Nightingale, Minamoto no Raikō",Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,19,Male,No,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:39,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryougi Shiki,"Nikola Tesla, Arjuna",Scathach,,,,"Vlad III, Florence Nightingale",Jeanne D'arc,,Between 6 and 12 months,7,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:39,Paid Gacha Only,,,,,,,,,,,,,,"Altera, Okita Souji",Gilgamesh,,Queen Medb,Tamamo-no-mae,Shuten Douji,"Vlad III, Minamoto no Raikō",Jeanne D'arc,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",More than 1 year,12,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:39,Paid Gacha Only,,,,,,,,,,,,,,,Nikola Tesla,,,,,,,,Between 1 and 3 months,2,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:39,Paid Gacha Only,,,,,,,,,,,,,,"Altera, Nero Claudius [Bride]",,,Ozymandias,Tamamo-no-mae,,,,,More than 1 year,4,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:39,Paid Gacha Only,,,,,,,,,,,,,,Mordred,,,Ozymandias,,,Vlad III,,Jeanne D'arc [Alter],Between 3 and 6 months,4,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:39,Paid Gacha Only,,,,,,,,,,,,,,"Artoria Pendragon, Mordred",,,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang",,"Vlad III, Minamoto no Raikō",,Extra Option: Angra Mainyu,More than 1 year,7,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:40,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Altera,Arjuna,,Francis Drake,"Zhuge Liang [El-Melloi II], Tamamo-no-mae, Xuanzang",,Florence Nightingale,,Jeanne D'arc [Alter],Between 6 and 12 months,7,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:40,F2P,Mordred,Orion,,,Xuanzang,,Sakata Kintoki,Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,6,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018 0:40,F2P,,,,,,,,Jeanne D'arc,Edmond Dantes,More than 1 year,2,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
